STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,TAX,Income Tax,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2005,,59,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,SWE,Sweden,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2016,,60.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2006,,59,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2007,,59,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2008,,62.28,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2009,,62.14936,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2010,,55.38,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2011,,55.38,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2012,,55.38,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2013,,55.564,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2014,,55.564,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2015,,55.794,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2016,,55.794,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2017,,55.794,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2018,,55.8584,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2019,,55.886,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2020,,55.8952,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2021,,55.8952,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,DNK,Denmark,TOP_TRATE,Top tax rates,2022,,55.9044,,A,,PC,Percentage,0,Units,,
